background	rust	chlorosis	leaf
214, 218, 222	40, 137, 136	36, 124, 106	80, 137, 116
229, 232, 237	0, 90, 111	61, 145, 128	67, 124, 104
207, 212, 213	0, 94, 142	66, 150, 133	63, 117, 98
222, 226, 227	0, 66, 125	67, 152, 133	56, 111, 92
213, 217, 221	23, 122, 131	52, 137, 120	60, 118, 97
224, 227, 232	0, 68, 100	72, 155, 138	66, 123, 102
224, 228, 230	26, 113, 168	77, 161, 143	56, 111, 92
222, 226, 227	0, 77, 138	76, 160, 142	49, 104, 85
219, 223, 228	0, 84, 104	61, 147, 132	50, 109, 87
216, 220, 224	0, 63, 104	73, 157, 142	59, 117, 96
235, 240, 241	36, 118, 180	78, 163, 148	44, 102, 83
220, 224, 225	0, 78, 141	76, 162, 143	51, 108, 90
228, 231, 236	0, 77, 106	67, 151, 138	67, 124, 104
208, 211, 216	0, 62, 111	70, 155, 140	61, 119, 98
227, 231, 233	54, 129, 193	71, 159, 144	50, 107, 89
220, 224, 225	0, 67, 133	68, 155, 140	61, 118, 99
221, 224, 229	29, 85, 99	62, 157, 154	36, 98, 79
217, 221, 226	19, 89, 114	68, 163, 155	43, 104, 88
218, 222, 227	50, 126, 163	60, 150, 139	37, 99, 82
223, 226, 231	1, 106, 153	70, 156, 145	48, 108, 90
215, 219, 223	23, 81, 101	60, 155, 152	50, 107, 89
212, 216, 220	35, 103, 133	66, 161, 152	46, 106, 90
212, 216, 220	43, 122, 162	63, 152, 141	42, 103, 87
216, 220, 224	0, 103, 149	76, 165, 153	45, 105, 87
210, 214, 218	13, 76, 100	66, 160, 157	54, 112, 93
207, 210, 215	18, 93, 124	68, 163, 155	38, 100, 84
207, 210, 215	21, 110, 149	56, 146, 134	43, 104, 88
208, 211, 216	0, 92, 139	63, 153, 139	55, 115, 96
222, 225, 230	6, 69, 95	58, 153, 148	58, 115, 96
219, 223, 228	4, 82, 115	66, 161, 151	41, 102, 86
216, 220, 224	18, 104, 146	56, 147, 133	52, 112, 95
214, 218, 222	0, 93, 141	64, 152, 138	65, 124, 106
201, 204, 210	53, 124, 103	66, 126, 115	104, 144, 131
200, 203, 209	43, 118, 105	60, 129, 116	66, 107, 94
201, 204, 210	39, 118, 118	48, 124, 107	60, 102, 89
203, 206, 212	10, 104, 122	44, 121, 105	57, 98, 86
200, 203, 209	58, 128, 110	69, 130, 118	50, 92, 79
199, 202, 208	44, 116, 103	57, 125, 113	57, 98, 86
199, 202, 208	29, 111, 109	42, 118, 102	54, 95, 82
201, 204, 210	2, 102, 113	24, 105, 89	55, 96, 83
202, 205, 211	61, 127, 111	50, 112, 100	57, 98, 86
200, 203, 209	78, 149, 133	42, 112, 97	62, 103, 90
199, 202, 208	66, 142, 131	37, 114, 98	60, 102, 89
199, 202, 208	53, 137, 129	43, 120, 104	30, 74, 60
203, 206, 212	69, 134, 119	67, 124, 114	99, 138, 121
202, 205, 211	77, 145, 130	53, 119, 104	57, 97, 81
200, 203, 209	86, 160, 144	32, 110, 93	48, 89, 72
200, 203, 209	73, 156, 139	53, 130, 111	47, 88, 71
220, 224, 225	0, 67, 95	48, 125, 108	65, 105, 88
222, 226, 227	13, 98, 128	49, 129, 110	67, 109, 93
217, 222, 223	0, 97, 125	64, 143, 119	58, 101, 84
213, 218, 219	0, 88, 109	49, 127, 104	78, 121, 107
225, 229, 231	0, 48, 88	40, 118, 102	67, 107, 91
227, 231, 233	14, 99, 139	46, 127, 108	55, 97, 81
222, 226, 227	0, 89, 129	45, 125, 103	59, 102, 85
214, 219, 220	0, 83, 112	52, 128, 107	49, 93, 79
226, 230, 232	0, 52, 92	39, 117, 101	59, 99, 82
226, 230, 232	6, 96, 137	51, 128, 112	48, 91, 75
225, 229, 231	17, 106, 148	61, 136, 118	76, 118, 101
223, 227, 228	0, 92, 124	44, 120, 104	48, 92, 78
222, 226, 227	0, 62, 105	46, 121, 105	59, 99, 82
221, 225, 226	0, 81, 127	48, 125, 108	78, 120, 103
214, 219, 220	8, 102, 144	47, 121, 109	68, 110, 94
207, 212, 213	0, 85, 120	41, 115, 106	50, 94, 80
204, 207, 212	0, 55, 117	47, 136, 118	55, 107, 92
201, 204, 209	0, 81, 147	56, 144, 128	73, 120, 110
199, 202, 207	0, 77, 143	63, 149, 132	60, 105, 95
198, 201, 206	0, 92, 157	71, 158, 138	83, 124, 116
216, 220, 224	0, 67, 132	53, 143, 127	20, 77, 62
216, 220, 224	0, 73, 143	58, 148, 132	85, 131, 122
214, 218, 222	0, 85, 157	66, 154, 139	59, 104, 94
210, 214, 218	2, 94, 165	74, 161, 147	98, 139, 132
214, 218, 222	0, 61, 125	58, 149, 131	59, 107, 93
215, 219, 223	0, 81, 149	62, 152, 135	95, 139, 127
216, 220, 224	0, 84, 156	67, 155, 141	60, 105, 95
215, 219, 223	0, 83, 154	81, 167, 153	47, 89, 80
210, 214, 218	0, 61, 119	48, 142, 121	54, 101, 87
211, 215, 219	0, 75, 140	56, 150, 130	76, 119, 105
212, 216, 220	0, 82, 152	72, 162, 145	62, 105, 93
213, 217, 221	0, 80, 152	85, 173, 154	50, 92, 80
224, 228, 230	0, 69, 100	71, 158, 140	62, 108, 94
230, 235, 236	0, 64, 103	77, 163, 145	41, 86, 71
227, 231, 233	0, 71, 117	75, 163, 144	56, 100, 85
227, 231, 233	0, 70, 119	65, 155, 136	58, 102, 85
220, 224, 225	0, 78, 105	65, 153, 135	60, 106, 92
226, 230, 232	0, 71, 108	73, 159, 142	44, 89, 75
225, 229, 231	0, 79, 122	71, 159, 141	47, 91, 77
232, 237, 238	0, 53, 104	71, 160, 141	48, 92, 76
223, 227, 228	7, 81, 107	77, 164, 148	46, 93, 79
226, 230, 232	0, 64, 101	93, 178, 163	41, 86, 71
225, 229, 231	0, 55, 98	79, 165, 150	38, 83, 69
232, 237, 238	0, 66, 116	77, 166, 147	50, 94, 78
222, 226, 227	0, 74, 97	66, 155, 136	51, 97, 83
225, 229, 231	0, 55, 89	76, 164, 144	52, 96, 82
223, 227, 228	0, 50, 93	65, 155, 137	45, 90, 76
235, 240, 241	0, 65, 119	73, 164, 146	64, 107, 91
210, 214, 218	39, 94, 121	45, 136, 118	91, 136, 122
210, 214, 218	0, 68, 101	52, 143, 124	54, 101, 87
209, 213, 217	9, 92, 128	50, 141, 123	51, 100, 86
209, 213, 217	0, 95, 136	55, 146, 129	55, 106, 93
208, 211, 216	39, 94, 121	45, 138, 119	87, 132, 119
209, 213, 217	0, 74, 110	50, 142, 123	67, 116, 102
209, 213, 217	24, 99, 137	51, 142, 123	42, 92, 78
208, 211, 216	0, 89, 133	55, 146, 126	40, 92, 79
213, 217, 221	34, 90, 116	56, 150, 131	47, 94, 80
214, 218, 222	16, 84, 120	63, 154, 135	47, 96, 82
213, 217, 221	42, 113, 151	67, 156, 137	47, 96, 82
212, 216, 220	0, 84, 128	61, 151, 132	50, 102, 89
210, 214, 218	26, 83, 110	54, 148, 129	59, 107, 93
210, 214, 218	21, 88, 121	52, 145, 126	59, 107, 93
209, 213, 217	51, 120, 158	54, 145, 126	42, 92, 78
207, 210, 215	0, 83, 127	48, 139, 120	47, 99, 86
245, 249, 250	1, 110, 132	49, 144, 120	39, 110, 85
226, 230, 232	0, 104, 142	52, 142, 122	56, 126, 101
237, 242, 243	0, 104, 151	52, 142, 122	54, 121, 99
241, 246, 247	0, 105, 162	64, 151, 131	44, 109, 88
241, 246, 247	0, 99, 131	50, 145, 121	52, 122, 97
238, 243, 244	0, 95, 143	38, 133, 113	48, 118, 94
231, 236, 237	0, 96, 154	48, 140, 121	40, 109, 87
230, 235, 236	0, 97, 160	56, 144, 125	47, 111, 90
216, 221, 222	0, 99, 130	33, 134, 112	39, 110, 85
243, 247, 248	0, 93, 139	23, 126, 107	55, 125, 100
234, 239, 240	0, 95, 150	46, 141, 124	36, 105, 83
210, 215, 216	0, 99, 159	50, 141, 124	50, 114, 93
222, 226, 227	0, 98, 124	36, 138, 117	16, 93, 68
224, 228, 230	0, 90, 126	38, 141, 122	50, 119, 95
235, 240, 241	0, 90, 136	49, 146, 131	59, 126, 104
217, 222, 223	0, 103, 154	46, 140, 126	36, 101, 80
210, 214, 218	11, 115, 128	69, 167, 139	53, 116, 95
213, 217, 221	0, 92, 121	76, 178, 148	63, 126, 105
211, 215, 219	0, 91, 137	65, 171, 142	50, 114, 93
211, 215, 219	0, 81, 143	71, 177, 148	66, 129, 108
209, 213, 217	11, 115, 130	62, 161, 134	47, 111, 90
213, 217, 221	0, 91, 123	75, 175, 148	57, 120, 99
217, 221, 226	0, 80, 130	75, 181, 152	54, 117, 96
218, 222, 227	0, 81, 150	81, 187, 159	51, 115, 94
211, 215, 219	6, 114, 121	74, 176, 149	45, 110, 89
217, 221, 226	0, 86, 113	79, 182, 154	60, 123, 103
222, 225, 230	5, 94, 142	72, 178, 148	56, 119, 98
219, 223, 228	2, 85, 153	58, 165, 136	62, 125, 104
212, 216, 220	19, 121, 124	63, 174, 145	53, 116, 95
216, 220, 224	3, 85, 107	76, 182, 153	62, 125, 104
221, 224, 229	0, 79, 121	72, 178, 148	56, 117, 96
219, 223, 228	0, 79, 143	69, 172, 143	76, 136, 115
227, 231, 233	0, 75, 127	79, 172, 146	49, 99, 86
231, 236, 237	0, 76, 137	77, 175, 146	57, 106, 92
224, 228, 230	0, 85, 151	64, 165, 140	52, 102, 84
231, 236, 237	0, 88, 157	54, 159, 138	46, 100, 80
239, 244, 245	13, 94, 145	86, 179, 153	55, 104, 90
227, 231, 233	0, 82, 144	84, 182, 154	52, 101, 87
231, 236, 237	0, 91, 160	68, 169, 144	47, 100, 82
229, 234, 235	0, 99, 169	62, 166, 145	55, 110, 90
228, 233, 234	9, 93, 142	74, 168, 143	51, 104, 89
230, 235, 236	0, 83, 141	75, 173, 145	62, 114, 98
220, 224, 225	0, 98, 164	61, 162, 137	49, 97, 79
236, 241, 242	0, 95, 162	53, 159, 137	51, 99, 81
227, 231, 233	1, 64, 112	71, 165, 139	51, 100, 86
228, 233, 234	0, 72, 130	73, 171, 143	53, 103, 85
223, 227, 228	0, 107, 170	72, 171, 147	37, 92, 72
228, 233, 234	0, 95, 160	60, 166, 141	50, 105, 85
210, 214, 218	0, 87, 151	104, 193, 169	69, 121, 106
209, 213, 217	0, 99, 157	92, 180, 156	48, 101, 86
210, 214, 218	0, 105, 163	75, 167, 142	63, 110, 93
208, 211, 216	0, 81, 145	80, 175, 150	46, 94, 77
211, 215, 219	0, 96, 158	93, 185, 160	51, 101, 83
209, 213, 217	0, 96, 154	78, 170, 146	48, 99, 81
208, 211, 216	0, 111, 167	72, 165, 140	47, 101, 81
218, 222, 227	0, 80, 141	81, 176, 151	55, 110, 90
209, 213, 217	0, 94, 152	96, 191, 166	43, 97, 81
209, 213, 217	0, 96, 149	77, 172, 147	54, 103, 89
